Movie_Name,Director(s),Genre(s)
Yojimbo 1961,Akira Kurosawa,"Action, Drama, Thriller"
Rio Bravo 1959,Howard Hawks,"Action, Drama, Western"
Brother's Keeper 1992,"Bruce Sinofsky, Joe Berlinger","Mystery, Crime, Documentary"
Sankofa 1993,Haile Gerima,Drama
Crumb 1995,Terry Zwigoff,"Biography, Documentary"
Spotlight 2015,Thomas McCarthy,"Biography, Drama, History, Thriller"
The Band Wagon 1953,Vincente Minnelli,"Comedy, Romance, Musical"
One More Time with Feeling 2016,Andrew Dominik,"Music, Documentary"
Ride the High Country 1962,Sam Peckinpah,"Drama, Western"
The Diving Bell and the Butterfly 2007,Julian Schnabel,"Biography, Drama"
Invasion of the Body Snatchers 1956,Don Siegel,"Sci-Fi, Drama, Horror"
Mr. Bachmann and His Class 2022,Maria Speth,Documentary
The Class 2008,Laurent Cantet,Drama
Platoon 1986,Oliver Stone,"Drama, War"
35 Shots of Rum 2009,Claire Denis,Drama
Apocalypse Now: Final Cut 2019,Francis Ford Coppola,"Drama, Mystery, War"
Chinatown 1974,Roman Polanski,"Drama, Mystery, Thriller, Crime"
The Florida Project 2017,Sean Baker,Drama
Timbuktu 2015,Abderrahmane Sissako,Drama
Frenzy 1972,Alfred Hitchcock,Thriller
Brief Encounter 1946,David Lean,"Drama, Romance"
No Country for Old Men 2007,"Ethan Coen, Joel Coen","Drama, Thriller, Crime, Western"
Cool Hand Luke 1967,Stuart Rosenberg,"Drama, Crime"
Little Women 1933,George Cukor,"Drama, Romance, Family"
Maborosi 1997,Hirokazu Koreeda,Drama
Top Hat 1935,Mark Sandrich,"Comedy, Romance, Musical"
Apocalypse Now Redux 2001,Francis Ford Coppola,"Action, Drama, War"
Never Rarely Sometimes Always 2020,Eliza Hittman,Drama
Annie Hall 1977,Woody Allen,"Drama, Comedy, Romance"
The Lord of the Rings: The Fellowship of the Ring 2001,Peter Jackson,"Action, Adventure, Fantasy"
Quiz Show 1994,Robert Redford,"Drama, History"
Leviathan 2014,Andrei Zvyagintsev,Drama
Werckmeister Harmonies 2001,"Ágnes Hranitzky, Béla Tarr","Sci-Fi, Drama, Mystery, Thriller, Horror, Crime"
Toy Story 3 2010,Lee Unkrich,"Adventure, Fantasy, Comedy, Animation, Family"
The Souvenir 2019,Joanna Hogg,"Drama, Mystery, Romance"
This Is Spinal Tap 1984,Rob Reiner,"Comedy, Music"
The Look of Silence 2015,Joshua Oppenheimer,Documentary
Tower 2016,Keith Maitland,"History, Crime, Animation, Documentary"
Drive My Car 2021,Ryûsuke Hamaguchi,Drama
Moolaadé 2004,Ousmane Sembene,Drama
Atanarjuat: The Fast Runner 2002,Zacharias Kunuk,"Drama, Fantasy"
Ikiru 1956,Akira Kurosawa,Drama
Time 2020,Garrett Bradley,Documentary
Gavagai 2018,Rob Tregenza,Drama
The Man Who Would Be King 1975,John Huston,Adventure
Nomadland 2020,Chloé Zhao,Drama
The Killing 1956,Stanley Kubrick,"Drama, Thriller, Crime, Film-Noir"
Swing Time 1936,George Stevens,"Comedy, Romance, Musical"
Breaking Away 1979,Peter Yates,"Drama, Sport, Comedy, Romance"
After Life 1999,Hirokazu Koreeda,"Drama, Fantasy"
Son of Saul 2015,László Nemes,"Drama, History, Thriller, Horror, War"
Love Affair 1939,Leo McCarey,"Drama, Comedy, Romance"
Frankenstein 1931,James Whale,"Sci-Fi, Drama, Horror"
8½ 1963,Federico Fellini,Drama
Little Women 2019,Greta Gerwig,"Drama, Romance"
E.T. The Extra-Terrestrial 1982,Steven Spielberg,"Adventure, Sci-Fi, Drama, Fantasy, Family"
The African Queen 1952,John Huston,"Adventure, Drama, Romance, War"
The Triplets of Belleville 2003,Sylvain Chomet,"Adventure, Comedy, Music, Animation"
The Queen 2006,Stephen Frears,"Biography, Drama"
Flee 2021,Jonas Poher Rasmussen,"Biography, Drama, Animation, Documentary"
All Quiet on the Western Front 1930,Lewis Milestone,"Drama, War"
EX LIBRIS: The New York Public Library 2017,Frederick Wiseman,Documentary
A Bread Factory Part Two: Walk With Me a While 2018,Patrick Wang,"Drama, Comedy"
The Ladykillers 1956,Alexander Mackendrick,"Comedy, Crime"
Young Mr. Lincoln 1939,John Ford,"Biography, Drama"
Stories We Tell 2013,Sarah Polley,Documentary
A Bread Factory Part One: For the Sake of Gold 2018,Patrick Wang,"Drama, Comedy"
The Act of Killing 2013,"Anonymous, Christine Cynn, Joshua Oppenheimer","History, Crime, Documentary"
On the Waterfront 1954,Elia Kazan,"Drama, Romance, Crime"
Jafar Panahi's Taxi 2015,Jafar Panahi,"Drama, Comedy"
Ida 2014,Pawel Pawlikowski,Drama
Beau Travail 2000,Claire Denis,Drama
Her 2013,Spike Jonze,"Sci-Fi, Drama, Comedy, Romance"
Uncut Gems 2019,"Ben Safdie, Joshua Safdie","Drama, Mystery, Thriller, Comedy, Crime"
Waltz with Bashir 2008,Ari Folman,"Biography, Drama, War, Animation"
"This Is Not a Burial, It's a Resurrection 2021",Lemohang Jeremiah Mosese,Drama
They Shall Not Grow Old 2018,Peter Jackson,"History, War, Documentary"
Secrets & Lies 1996,Mike Leigh,"Drama, Comedy"
Memoria 2021,Apichatpong Weerasethakul,"Sci-Fi, Drama"
An Autumn Afternoon 1964,Yasujiro Ozu,Drama
Patton 1970,Franklin J. Schaffner,"Biography, Drama, War"
The Favourite 2018,Giorgos Lanthimos,"Biography, Drama, History, Comedy"
The Sweet Hereafter 1997,Atom Egoyan,Drama
TÁR 2022,Todd Field,"Drama, Music"
The Right Stuff 1983,Philip Kaufman,"Adventure, Biography, Drama, History"
Bambi 1942,"Bill Roberts, David Hand, Graham Heid, James Algar, Norman Wright, Paul Satterfield, Samuel Armstrong","Drama, Animation, Family"
Bringing Up Baby 1938,Howard Hawks,"Comedy, Romance, Family"
The Gatekeepers 2013,Dror Moreh,Documentary
Nostalgia for the Light 2011,Patricio Guzmán,"Drama, Documentary"
The Rider 2018,Chloé Zhao,"Adventure, Drama, Comedy, Romance, Western, Music"
David Copperfield 1935,George Cukor,"Adventure, Drama, Romance"
Saving Private Ryan 1998,Steven Spielberg,"Action, Drama, War"
Burning 2018,Chang-dong Lee,"Drama, Mystery"
The Worst Person in the World 2022,Joachim Trier,"Drama, Comedy"
Ben-Hur 1959,William Wyler,"Adventure, Drama, History, War"
